# x  y  P(x,y)
     6    13   1.707408292592E-03
     6    14   1.707528292472E-03
     6    15   1.698558301442E-03
     6    16   1.698138301862E-03
     6    17   1.710398289602E-03
     6    18   1.707998292002E-03
     6    19   5.585394414606E-03

     7     0   5.582864417136E-03
     7     1   1.716628283372E-03
     7     2   1.718518281482E-03
     7     3   1.729958270042E-03
     7     4   1.731438268562E-03
     7     5   1.729968270032E-03
     7     6   1.727448272552E-03
     7     7   1.730818269182E-03
     7     8   1.715908284092E-03
     7     9   1.710068289932E-03
     7    10   1.714478285522E-03
     7    11   1.712158287842E-03
     7    12   1.720988279012E-03
     7    13   1.716758283242E-03
     7    14   1.711088288912E-03
     7    15   1.708258291742E-03
     7    16   1.704848295152E-03
     7    17   1.704868295132E-03
     7    18   1.706168293832E-03
     7    19   5.585514414486E-03

     8     0   5.612194387806E-03
     8     1   1.731918268082E-03
     8     2   1.736508263492E-03
     8     3   1.744088255912E-03
     8     4   1.747458252542E-03
     8     5   1.745408254592E-03
     8     6   1.733928266072E-03
     8     7   1.726968273032E-03
     8     8   1.716888283112E-03
     8     9   1.716868283132E-03
     8    10   1.716408283592E-03
     8    11   1.717438282562E-03
     8    12   1.724498275502E-03
     8    13   1.725908274092E-03
     8    14   1.719018280982E-03
     8    15   1.714118285882E-03
     8    16   1.705608294392E-03
     8    17   1.711768288232E-03
     8    18   1.714808285192E-03
     8    19   5.590664409336E-03

     9     0   5.585584414416E-03
     9     1   1.741288258712E-03
     9     2   1.749738250262E-03
     9     3   1.743748256252E-03
     9     4   1.753528246472E-03
     9     5   1.746768253232E-03
     9     6   1.738108261892E-03
     9     7   1.736308263692E-03
     9     8   1.723268276732E-03
     9     9   1.720318279682E-03
     9    10   1.717418282582E-03
     9    11   1.715438284562E-03
     9    12   1.721918278082E-03
     9    13   1.720468279532E-03
     9    14   1.719128280872E-03
     9    15   1.712728287272E-03
     9    16   1.706568293432E-03
     9    17   1.709708290292E-03
     9    18   1.720138279862E-03
     9    19   5.606234393766E-03

    10     0   5.615574384426E-03
    10     1   1.740458259542E-03
    10     2   1.737758262242E-03
    10     3   1.734058265942E-03
    10     4   1.734248265752E-03
    10     5   1.741058258942E-03
    10     6   1.743928256072E-03
    10     7   1.738658261342E-03
    10     8   1.729798270202E-03
    10     9   1.723538276462E-03
    10    10   1.725458274542E-03
    10    11   1.728818271182E-03
    10    12   1.722828277172E-03
    10    13   1.718018281982E-03
    10    14   1.723838276162E-03
    10    15   1.718238281762E-03
    10    16   1.726198273802E-03
    10    17   1.727818272182E-03
    10    18   1.721588278412E-03
    10    19   5.556024443976E-03

    11     0   5.651534348466E-03
    11     1   1.727428272572E-03
    11     2   1.725918274082E-03
    11     3   1.729948270052E-03
    11     4   1.723608276392E-03
    11     5   1.732518267482E-03
    11     6   1.740598259402E-03
    11     7   1.731588268412E-03
    11     8   1.721828278172E-03
    11     9   1.723688276312E-03
    11    10   1.718478281522E-03
    11    11   1.725228274772E-03
    11    12   1.724558275442E-03
    11    13   1.727238272762E-03
    11    14   1.717978282022E-03
    11    15   1.722318277682E-03
    11    16   1.738888261112E-03
    11    17   1.743148256852E-03
    11    18   1.734288265712E-03
    11    19   5.608844391156E-03

    12     0   5.631944368056E-03
    12     1   1.730488269512E-03
    12     2   1.727648272352E-03
    12     3   1.731258268742E-03
    12     4   1.725058274942E-03
    12     5   1.737658262342E-03
    12     6   1.737998262002E-03
    12     7   1.730078269922E-03
    12     8   1.724878275122E-03
    12     9   1.720558279442E-03
    12    10   1.709628290372E-03
    12    11   1.716408283592E-03
    12    12   1.723528276472E-03
    12    13   1.722618277382E-03
    12    14   1.717408282592E-03
    12    15   1.725998274002E-03
    12    16   1.739068260932E-03
    12    17   1.746128253872E-03
    12    18   1.743338256662E-03
    12    19   5.606594393406E-03

    13     0   5.675604324396E-03
    13     1   1.739858260142E-03
    13     2   1.745218254782E-03
    13     3   1.733678266322E-03
    13     4   1.720608279392E-03
    13     5   1.730488269512E-03
    13     6   1.742778257222E-03
    13     7   1.741848258152E-03
    13     8   1.732488267512E-03
    13     9   1.722628277372E-03
    13    10   1.716988283012E-03
    13    11   1.716338283662E-03
    13    12   1.722648277352E-03
