# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
52 6.92820323028 1.1858612841947459e-03
54 6.92820323028 1.2850836402553030e-03
56 6.92820323028 1.3794403277036429e-03
58 6.92820323028 1.4564941943648675e-03
60 6.92820323028 1.5071939880193434e-03
62 6.92820323028 1.5273280840353836e-03

5 8.66025403784 1.4241000814888731e-03
7 8.66025403784 1.4055191614444156e-03
9 8.66025403784 1.3779595893317353e-03
11 8.66025403784 1.3502469762609645e-03
13 8.66025403784 1.3301063821680149e-03
15 8.66025403784 1.3227762035180439e-03
17 8.66025403784 1.3301063821680153e-03
19 8.66025403784 1.3502469762609638e-03
21 8.66025403784 1.3779595893317342e-03
23 8.66025403784 1.4055191614444160e-03
25 8.66025403784 1.4241000814888688e-03
27 8.66025403784 1.4254518890571620e-03
29 8.66025403784 1.4035833977140062e-03
31 8.66025403784 1.3561270171699399e-03
33 8.66025403784 1.2850836402552991e-03
35 8.66025403784 1.1967637126752628e-03
37 8.66025403784 1.1009156013058105e-03
39 8.66025403784 1.0092132070683546e-03
41 8.66025403784 9.3340332901044440e-04
43 8.66025403784 8.8345671597274660e-04
45 8.66025403784 8.6602952026732199e-04
47 8.66025403784 8.8345671597274379e-04
49 8.66025403784 9.3340332901044288e-04
51 8.66025403784 1.0092132070683556e-03
53 8.66025403784 1.1009156013058112e-03
55 8.66025403784 1.1967637126752656e-03
57 8.66025403784 1.2850836402553019e-03
59 8.66025403784 1.3561270171699377e-03
61 8.66025403784 1.4035833977140062e-03
63 8.66025403784 1.4254518890571602e-03

6 10.3923048454 1.3508536734907781e-03
8 10.3923048454 1.3510716290031266e-03
10 10.3923048454 1.3440767938565031e-03
12 10.3923048454 1.3355863252598205e-03
14 10.3923048454 1.3301063821680142e-03
16 10.3923048454 1.3301063821680138e-03
18 10.3923048454 1.3355863252598205e-03
20 10.3923048454 1.3440767938565040e-03
22 10.3923048454 1.3510716290031303e-03
24 10.3923048454 1.3508536734907792e-03
26 10.3923048454 1.3376182213985911e-03
28 10.3923048454 1.3067278181067988e-03
30 10.3923048454 1.2558690180608867e-03
32 10.3923048454 1.1858612841947401e-03
34 10.3923048454 1.1009156013058181e-03
36 10.3923048454 1.0082533763543129e-03
38 10.3923048454 9.1714210130753617e-04
40 10.3923048454 8.3753443964645023e-04
42 10.3923048454 7.7857127640042288e-04
44 10.3923048454 7.4721306814484289e-04
46 10.3923048454 7.4721306814484138e-04
48 10.3923048454 7.7857127640042103e-04
50 10.3923048454 8.3753443964644796e-04
52 10.3923048454 9.1714210130753758e-04
54 10.3923048454 1.0082533763543149e-03
56 10.3923048454 1.1009156013058116e-03
58 10.3923048454 1.1858612841947440e-03
60 10.3923048454 1.2558690180608828e-03
62 10.3923048454 1.3067278181067982e-03
64 10.3923048454 1.3376182213985922e-03

7 12.124355653 1.3108346420775429e-03
9 12.124355653 1.3317997435725688e-03
11 12.124355653 1.3440767938565036e-03
13 12.124355653 1.3502469762609625e-03
15 12.124355653 1.3520926050843969e-03
17 12.124355653 1.3502469762609638e-03
19 12.124355653 1.3440767938565049e-03
21 12.124355653 1.3317997435725694e-03
23 12.124355653 1.3108346420775451e-03
25 12.124355653 1.2783658084374091e-03
27 12.124355653 1.2320639895626575e-03
29 12.124355653 1.1708502620255794e-03
31 12.124355653 1.0955422063995499e-03
33 12.124355653 1.0092132070683621e-03
35 12.124355653 9.1714210130753823e-04
37 12.124355653 8.2632257868280967e-04
39 12.124355653 7.4460850049605195e-04
41 12.124355653 6.7965502759444088e-04
43 12.124355653 6.3785104495882035e-04
45 12.124355653 6.2342395511748815e-04
47 12.124355653 6.3785104495881915e-04
49 12.124355653 6.7965502759443936e-04
51 12.124355653 7.4460850049605292e-04
53 12.124355653 8.2632257868280935e-04
55 12.124355653 9.1714210130754007e-04
57 12.124355653 1.0092132070683561e-03
59 12.124355653 1.0955422063995488e-03
61 12.124355653 1.1708502620255744e-03
63 12.124355653 1.2320639895626558e-03
65 12.124355653 1.2783658084374095e-03

8 13.8564064606 1.3108346420775429e-03
10 13.8564064606 1.3510716290031286e-03
12 13.8564064606 1.3779595893317345e-03
14 13.8564064606 1.3914169060602849e-03
16 13.8564064606 1.3914169060602838e-03
18 13.8564064606 1.3779595893317355e-03
20 13.8564064606 1.3510716290031301e-03
22 13.8564064606 1.3108346420775440e-03
24 13.8564064606 1.2574685269208998e-03
26 13.8564064606 1.1915001862018394e-03
28 13.8564064606 1.1140191860113157e-03
30 13.8564064606 1.0269721864104582e-03
32 13.8564064606 9.3340332901045286e-04
34 13.8564064606 8.3753443964644850e-04
36 13.8564064606 7.4460850049605347e-04
38 13.8564064606 6.6048270076780175e-04
40 13.8564064606 5.9102808664141416e-04
42 13.8564064606 5.4144430826648144e-04
44 13.8564064606 5.1561511743103135e-04
46 13.8564064606 5.1561511743103059e-04
48 13.8564064606 5.4144430826647872e-04
50 13.8564064606 5.9102808664141394e-04
52 13.8564064606 6.6048270076780218e-04
54 13.8564064606 7.4460850049605249e-04
56 13.8564064606 8.3753443964645175e-04
58 13.8564064606 9.3340332901044537e-04
60 13.8564064606 1.0269721864104566e-03
62 13.8564064606 1.1140191860113111e-03
64 13.8564064606 1.1915001862018426e-03
66 13.8564064606 1.2574685269208991e-03

9 15.5884572681 1.3508536734907774e-03
11 15.5884572681 1.4055191614444143e-03
13 15.5884572681 1.4395577605904701e-03
15 15.5884572681 1.4511198649594674e-03
17 15.5884572681 1.4395577605904723e-03
19 15.5884572681 1.4055191614444184e-03
21 15.5884572681 1.3508536734907811e-03
23 15.5884572681 1.2783658084374160e-03
25 15.5884572681 1.1915001862018390e-03
27 15.5884572681 1.0940582214306017e-03
29 15.5884572681 9.9001609741713862e-04
31 15.5884572681 8.8345671597275387e-04
33 15.5884572681 7.7857127640042244e-04
35 15.5884572681 6.7965502759443817e-04
37 15.5884572681 5.9102808664141296e-04
39 15.5884572681 5.1684900246507480e-04
41 15.5884572681 4.6083619076094703e-04
43 15.5884572681 4.2594962588481464e-04
45 15.5884572681 4.1410044841242859e-04
47 15.5884572681 4.2594962588481339e-04
49 15.5884572681 4.6083619076094578e-04
51 15.5884572681 5.1684900246507556e-04
53 15.5884572681 5.9102808664141437e-04
55 15.5884572681 6.7965502759444174e-04
57 15.5884572681 7.7857127640042418e-04
59 15.5884572681 8.8345671597274487e-04
61 15.5884572681 9.9001609741713710e-04
63 15.5884572681 1.0940582214305937e-03
65 15.5884572681 1.1915001862018424e-03
67 15.5884572681 1.2783658084374108e-03

10 17.3205080757 1.4241000814888714e-03
12 17.3205080757 1.4855793103101776e-03
14 17.3205080757 1.5175416064827502e-03
16 17.3205080757 1.5175416064827515e-03
18 17.3205080757 1.4855793103101750e-03
20 17.3205080757 1.4241000814888731e-03
22 17.3205080757 1.3376182213985922e-03
24 17.3205080757 1.2320639895626593e-03
26 17.3205080757 1.1140191860113107e-03
28 17.3205080757 9.9001609741713949e-04
30 17.3205080757 8.6602952026732232e-04
32 17.3205080757 7.4721306814484224e-04
34 17.3205080757 6.3785104495881970e-04
36 17.3205080757 5.4144430826647547e-04
38 17.3205080757 4.6083619076094269e-04
40 17.3205080757 3.9830765940017360e-04
42 17.3205080757 3.5561160561143533e-04
44 17.3205080757 3.3395431197269466e-04
46 17.3205080757 3.3395431197269287e-04
48 17.3205080757 3.5561160561143468e-04
50 17.3205080757 3.9830765940017691e-04
52 17.3205080757 4.6083619076093971e-04
54 17.3205080757 5.4144430826647439e-04
56 17.3205080757 6.3785104495881493e-04
58 17.3205080757 7.4721306814483682e-04
60 17.3205080757 8.6602952026731625e-04
62 17.3205080757 9.9001609741712865e-04
64 17.3205080757 1.1140191860113157e-03
66 17.3205080757 1.2320639895626591e-03
68 17.3205080757 1.3376182213985918e-03

11 19.0525588833 1.5180802172252560e-03
13 19.0525588833 1.5770544785003240e-03
15 19.0525588833 1.5973074835010474e-03
17 19.0525588833 1.5770544785003243e-03
19 19.0525588833 1.5180802172252582e-03
21 19.0525588833 1.4254518890571648e-03
23 19.0525588833 1.3067278181068066e-03
25 19.0525588833 1.1708502620255707e-03
27 19.0525588833 1.0269721864104584e-03
29 19.0525588833 8.8345671597274563e-04
31 19.0525588833 7.4721306814484376e-04
33 19.0525588833 6.2342395511748977e-04
35 19.0525588833 5.1561511743102484e-04
37 19.0525588833 4.2594962588480786e-04
39 19.0525588833 3.5561160561143723e-04
41 19.0525588833 3.0516925436905028e-04
43 19.0525588833 2.7485465425990829e-04
45 19.0525588833 2.6474445602620494e-04
47 19.0525588833 2.7485465425990829e-04
49 19.0525588833 3.0516925436905131e-04
51 19.0525588833 3.5561160561143663e-04
53 19.0525588833 4.2594962588480650e-04
55 19.0525588833 5.1561511743102636e-04
57 19.0525588833 6.2342395511748284e-04
59 19.0525588833 7.4721306814483650e-04
61 19.0525588833 8.8345671597273663e-04
63 19.0525588833 1.0269721864104491e-03
65 19.0525588833 1.1708502620255759e-03
67 19.0525588833 1.3067278181068014e-03
69 19.0525588833 1.4254518890571618e-03

12 20.7846096908 1.6166453486646034e-03
14 20.7846096908 1.6634919501402248e-03
16 20.7846096908 1.6634919501402248e-03
18 20.7846096908 1.6166453486646053e-03
20 20.7846096908 1.5273280840353838e-03
22 20.7846096908 1.4035833977140125e-03
24 20.7846096908 1.2558690180608891e-03
26 20.7846096908 1.0955422063995504e-03
28 20.7846096908 9.3340332901044418e-04
30 20.7846096908 7.7857127640042440e-04
32 20.7846096908 6.3785104495882252e-04
34 20.7846096908 5.1561511743103167e-04
36 20.7846096908 4.1410044841242241e-04
38 20.7846096908 3.3395431197269813e-04
40 20.7846096908 2.7485465425991246e-04
42 20.7846096908 2.3607058469127880e-04
44 20.7846096908 2.1688925653715673e-04
46 20.7846096908 2.1688925653715681e-04
48 20.7846096908 2.3607058469127907e-04
50 20.7846096908 2.7485465425990959e-04
52 20.7846096908 3.3395431197269591e-04
54 20.7846096908 4.1410044841242111e-04
56 20.7846096908 5.1561511743102549e-04
58 20.7846096908 6.3785104495881384e-04
60 20.7846096908 7.7857127640041388e-04
62 20.7846096908 9.3340332901043377e-04
64 20.7846096908 1.0955422063995527e-03
66 20.7846096908 1.2558690180608835e-03
68 20.7846096908 1.4035833977140060e-03
70 20.7846096908 1.5273280840353831e-03

13 22.5166604984 1.7027168825038941e-03
15 22.5166604984 1.7290344123983105e-03
