# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
55 5.19615242271 1.4555600000000001e-03
57 5.19615242271 1.5499000000000001e-03
59 5.19615242271 1.5986399999999999e-03
61 5.19615242271 1.6250900000000000e-03

4 6.92820323028 1.5198300000000000e-03
6 6.92820323028 1.4868800000000001e-03
8 6.92820323028 1.4338000000000000e-03
10 6.92820323028 1.3868500000000000e-03
12 6.92820323028 1.3511500000000000e-03
14 6.92820323028 1.3330099999999999e-03
16 6.92820323028 1.3247300000000001e-03
18 6.92820323028 1.3502799999999999e-03
20 6.92820323028 1.3893800000000000e-03
22 6.92820323028 1.4351600000000000e-03
24 6.92820323028 1.4799500000000001e-03
26 6.92820323028 1.5211599999999999e-03
28 6.92820323028 1.5309200000000001e-03
30 6.92820323028 1.5188199999999999e-03
32 6.92820323028 1.4577600000000000e-03
34 6.92820323028 1.3823100000000001e-03
36 6.92820323028 1.2818199999999999e-03
38 6.92820323028 1.1842400000000000e-03
40 6.92820323028 1.0912300000000001e-03
42 6.92820323028 1.0306499999999999e-03
44 6.92820323028 9.8868000000000003e-04
46 6.92820323028 9.8901000000000002e-04
48 6.92820323028 1.0236600000000000e-03
50 6.92820323028 1.0992400000000000e-03
52 6.92820323028 1.1795600000000001e-03
54 6.92820323028 1.2876299999999999e-03
56 6.92820323028 1.3823399999999999e-03
58 6.92820323028 1.4545700000000001e-03
60 6.92820323028 1.5027899999999999e-03
62 6.92820323028 1.5215599999999999e-03

5 8.66025403784 1.4214799999999999e-03
7 8.66025403784 1.4008600000000001e-03
9 8.66025403784 1.3796200000000000e-03
11 8.66025403784 1.3576800000000000e-03
13 8.66025403784 1.3316400000000000e-03
15 8.66025403784 1.3248600000000000e-03
17 8.66025403784 1.3338700000000000e-03
19 8.66025403784 1.3470200000000000e-03
21 8.66025403784 1.3794899999999999e-03
23 8.66025403784 1.4095100000000001e-03
25 8.66025403784 1.4215700000000000e-03
27 8.66025403784 1.4252900000000001e-03
29 8.66025403784 1.4061000000000000e-03
31 8.66025403784 1.3512600000000000e-03
33 8.66025403784 1.2869100000000001e-03
35 8.66025403784 1.1939400000000001e-03
37 8.66025403784 1.1061999999999999e-03
39 8.66025403784 1.0118200000000001e-03
41 8.66025403784 9.3092999999999995e-04
43 8.66025403784 8.8400000000000002e-04
45 8.66025403784 8.6733000000000003e-04
47 8.66025403784 8.8263000000000002e-04
49 8.66025403784 9.3157999999999999e-04
51 8.66025403784 1.0141799999999999e-03
53 8.66025403784 1.0998799999999999e-03
55 8.66025403784 1.1991100000000000e-03
57 8.66025403784 1.2853100000000000e-03
59 8.66025403784 1.3541000000000000e-03
61 8.66025403784 1.4008400000000000e-03
63 8.66025403784 1.4190900000000000e-03

6 10.3923048454 1.3550700000000001e-03
8 10.3923048454 1.3491300000000000e-03
10 10.3923048454 1.3489800000000001e-03
12 10.3923048454 1.3279100000000001e-03
14 10.3923048454 1.3317400000000001e-03
16 10.3923048454 1.3309400000000001e-03
18 10.3923048454 1.3371100000000001e-03
20 10.3923048454 1.3497800000000001e-03
22 10.3923048454 1.3488700000000001e-03
24 10.3923048454 1.3535900000000000e-03
26 10.3923048454 1.3388600000000001e-03
28 10.3923048454 1.3066099999999999e-03
30 10.3923048454 1.2604400000000000e-03
32 10.3923048454 1.1866400000000001e-03
34 10.3923048454 1.1029400000000000e-03
36 10.3923048454 1.0130400000000000e-03
38 10.3923048454 9.1675999999999997e-04
40 10.3923048454 8.3819999999999999e-04
42 10.3923048454 7.8014000000000002e-04
44 10.3923048454 7.4208000000000000e-04
46 10.3923048454 7.4534999999999998e-04
48 10.3923048454 7.7574999999999996e-04
50 10.3923048454 8.3695999999999998e-04
52 10.3923048454 9.1547999999999998e-04
54 10.3923048454 1.0110000000000000e-03
56 10.3923048454 1.1023500000000000e-03
58 10.3923048454 1.1841700000000000e-03
60 10.3923048454 1.2607199999999999e-03
62 10.3923048454 1.3042300000000000e-03
