# bias square_even square_odd triangular_even triangular_odd
7.410000000000001030e-01 5.849313578278012571e-01 1.654560907669338221e-01 6.926938950564019981e-01 2.840876619813728077e-01
7.600000000000000089e-01 5.815532607158013789e-01 1.679869854293393749e-01 6.860870778677086168e-01 2.870234906486243132e-01
7.789999999999999147e-01 5.781596700691427060e-01 1.704242553225747692e-01 6.795146673245684443e-01 2.897651076836554873e-01
7.980000000000000426e-01 5.747536029463725660e-01 1.727689167674702486e-01 6.729823572366864237e-01 2.923181464422370812e-01
8.169999999999999485e-01 5.713379724825011774e-01 1.750220823454690100e-01 6.664954176341162384e-01 2.946883151926892874e-01
8.360000000000000764e-01 5.679155860362657959e-01 1.771849532842121600e-01 6.600587072850043757e-01 2.968813713133223176e-01
8.549999999999999822e-01 5.644891438347547918e-01 1.792588119858103402e-01 6.536766872676336160e-01 2.989030975063659556e-01
8.739999999999998881e-01 5.610612380867694426e-01 1.812450147252242794e-01 6.473534353906493788e-01 3.007592799938264561e-01
8.930000000000000160e-01 5.576343525355140773e-01 1.831449845428093914e-01 6.410926612713607753e-01 3.024556886459323080e-01
9.119999999999999218e-01 5.542108624207591205e-01 1.849602043518215333e-01 6.348977218981555204e-01 3.039980589805753031e-01
9.310000000000000497e-01 5.507930348204432836e-01 1.866922102785552318e-01 6.287716375191789719e-01 3.053920759622398284e-01
9.499999999999999556e-01 5.473830293417922821e-01 1.883425852498017694e-01 6.227171077152440226e-01 3.066433595211393026e-01
